rank,character_tag,copyrights,post_count,recent_post_count,first_seen_at,character_age_days,recent_ratio,growth_score,birth_confidence,lifecycle_notes
119,mash_kyrielight,fate_(series)|fate/grand_order|original|blue_archive|nijisanji,3326,971,2024-05-05T11:02:21.383000+00:00,726,0.291942,0.213203,0.0,
120,aerith_gainsborough,final_fantasy|final_fantasy_vii|final_fantasy_vii_remake|final_fantasy_vii_rebirth|final_fantasy_vii:_ever_crisis,5072,1268,2024-05-05T01:00:41.780000+00:00,727,0.25,0.213047,0.0,
121,nerissa_ravencroft,hololive|hololive_english|oyomeholic_(nerissa_ravencroft)|rabbit_hole_(vocaloid)|hololive_indonesia,4890,1211,2024-05-04T16:58:56.621000+00:00,727,0.247648,0.209913,0.0,
122,ishmael_(project_moon),project_moon|limbus_company|arknights|lobotomy_corporation|library_of_ruina,3786,1024,2024-05-06T07:10:40.205000+00:00,726,0.27047,0.20902,0.0,
123,aether_(genshin_impact),genshin_impact|mihoyo|honkai_(series)|honkai:_star_rail|zenless_zone_zero,4850,1192,2024-05-04T17:12:37.012000+00:00,727,0.245773,0.208541,0.0,
124,jane_doe_(zenless_zone_zero),zenless_zone_zero|indie_virtual_youtuber|hololive|hololive_english|chainsaw_man,5154,1074,2024-07-11T16:01:10.098000+00:00,659,0.208382,0.207821,0.0,
125,raora_panthera,hololive|hololive_english|mage_arena|hololive_indonesia|monster_hunter_(series),4018,954,2024-06-18T12:43:27.269000+00:00,682,0.237432,0.206171,0.0,
126,stelle_(honkai:_star_rail),honkai:_star_rail|honkai_(series)|mihoyo|genshin_impact|honkai_impact_3rd,8001,1524,2024-05-04T21:07:46.296000+00:00,727,0.190476,0.206098,0.0,
127,march_7th_(honkai:_star_rail),honkai:_star_rail|honkai_(series)|honkai_impact_3rd|mihoyo|genshin_impact,5810,1287,2024-05-04T23:07:24.509000+00:00,727,0.221515,0.205311,0.0,
128,houshou_marine,hololive|hololive_english|hololive_dev_is|hololive_indonesia|how_about_paipai_mask?_(houshou_marine),4593,1116,2024-05-04T16:42:15.434000+00:00,727,0.242978,0.204464,0.0,
129,monkey_d._luffy,one_piece|one_piece_(live_action)|one_piece_card_game|one_piece_film:_gold|dragon_ball,3636,962,2024-05-05T03:20:54.168000+00:00,727,0.264576,0.204382,0.0,
130,mori_calliope,hololive|hololive_english|hololive_indonesia|hololive_dev_is|devil_may_cry_(series),4362,1057,2024-05-04T19:45:45.012000+00:00,727,0.24232,0.201753,0.0,
131,fuwawa_abyssgard,hololive|hololive_english|hololive_indonesia|hololive_dev_is|comiket_107,3634,936,2024-05-04T20:25:46.880000+00:00,727,0.257567,0.201171,0.0,
132,seia_(blue_archive),blue_archive|comiket_107|zenless_zone_zero|sousou_no_frieren|touhou,6371,1299,2024-05-04T20:29:48.419000+00:00,727,0.203893,0.200536,0.0,
133,plana_(blue_archive),blue_archive|comiket_107|pokemon|jujutsu_kaisen|kamen_rider,3787,954,2024-05-04T19:21:25.982000+00:00,727,0.251914,0.200242,0.0,
134,princess_zelda,the_legend_of_zelda|the_legend_of_zelda:_tears_of_the_kingdom|the_legend_of_zelda:_breath_of_the_wild|the_legend_of_zelda:_twilight_princess|the_legend_of_zelda:_ocarina_of_time,5688,1215,2024-05-05T05:56:29.734000+00:00,727,0.213608,0.199871,0.0,
135,momose_ginko,link!_like!_love_live!|love_live!|comiket_107|gamers_(store)|real_life,5885,1231,2024-05-04T17:31:56.197000+00:00,727,0.209176,0.199223,0.0,
136,firefly_(honkai:_star_rail),honkai_(series)|honkai:_star_rail|genshin_impact|mihoyo|comiket_107,12585,1732,2024-05-04T21:07:46.296000+00:00,727,0.137624,0.199105,0.0,
137,hinoshita_kaho,link!_like!_love_live!|love_live!|love_live!_nijigasaki_high_school_idol_club|love_live!_sunshine!!|love_live!_superstar!!,6653,1303,2024-05-04T16:58:09.627000+00:00,727,0.195851,0.198294,0.0,
138,doctor_(arknights),arknights|arknights:_endfield|bang_dream!|bang_dream!_it's_mygo!!!!!|stargate_(series),4937,1103,2024-05-04T22:36:27.955000+00:00,727,0.223415,0.198041,0.0,
139,mococo_abyssgard,hololive|hololive_english|hololive_indonesia|hololive_dev_is|hololive_dreams,3537,893,2024-05-04T20:25:46.880000+00:00,727,0.252474,0.197811,0.0,
140,chihaya_anon,bang_dream!|bang_dream!_it's_mygo!!!!!|sanrio|my_melody_(series)|bang_dream!_girls_band_party!,7872,1381,2024-05-04T22:17:15.102000+00:00,727,0.175432,0.195492,0.0,
141,yae_miko,genshin_impact|honkai_(series)|mihoyo|honkai:_star_rail|honkai_impact_3rd,3213,818,2024-05-05T03:17:18.741000+00:00,727,0.254591,0.19525,0.0,
142,kris_(deltarune),utdr_(toby_fox)|deltarune|undertale|omori|the_amazing_digital_circus,3159,807,2024-05-05T08:12:53.193000+00:00,727,0.255461,0.195042,0.0,
143,misumi_uika,bang_dream!|bang_dream!_it's_mygo!!!!!|arknights|yumenokessho|sweets_paradise,5857,1183,2024-05-05T04:07:17.127000+00:00,727,0.201981,0.19502,0.0,
144,toki_(blue_archive),blue_archive|gintama|honkai:_star_rail|honkai_(series)|devil_may_cry_(series),4569,1022,2024-05-05T11:25:38.965000+00:00,726,0.223681,0.194898,0.0,
145,saber_(fate),fate_(series)|fate/stay_night|fate/grand_order|honkai_(series)|honkai:_star_rail,3203,812,2024-05-04T17:35:55.310000+00:00,727,0.253512,0.194671,0.0,
146,hoshimachi_suisei,hololive|hololive_english|primadonna_(hoshimachi_suisei)|hololive_dev_is|fortnite,6133,1206,2024-05-04T22:31:52.218000+00:00,727,0.196641,0.194398,0.0,
147,nozomi_(blue_archive),blue_archive|original|comiket_107|comiket_106|gintama,4114,951,2024-05-04T16:56:05.593000+00:00,727,0.231162,0.193889,0.0,
148,gardevoir,pokemon|pokemon_legends:_z-a|pokemon_(anime)|poketoon|original,8736,1423,2024-05-05T09:42:40.086000+00:00,726,0.162889,0.193747,0.0,
149,herta_(honkai:_star_rail),honkai_(series)|honkai:_star_rail|genshin_impact|comiket_107|mihoyo,3626,863,2024-05-04T22:48:49.153000+00:00,727,0.238003,0.192191,0.0,
150,shiori_novella,hololive|hololive_english|hololive_indonesia|chainsaw_man|holostars,5055,1055,2024-05-04T16:58:56.621000+00:00,727,0.208704,0.191583,0.0,
151,nanami_chiaki,danganronpa_(series)|danganronpa_2:_goodbye_despair|danganronpa:_trigger_happy_havoc|danganronpa_3_(anime)|danganronpa_v3:_killing_harmony,5336,1085,2024-05-04T20:06:48.570000+00:00,727,0.203336,0.19125,0.0,
152,kawaragi_momoka,girls_band_cry|girls_band_cry_rpg|bang_dream!|bang_dream!_it's_mygo!!!!!|real_life,6124,1169,2024-05-05T03:56:16.537000+00:00,727,0.190888,0.191095,0.0,
153,shiina_taki,bang_dream!|bang_dream!_it's_mygo!!!!!|bang_dream!_girls_band_party!|arknights|love_live!,6126,1154,2024-05-04T23:12:31.308000+00:00,727,0.188377,0.189703,0.0,
154,koharu_(blue_archive),blue_archive|jujutsu_kaisen|densetsu.exe|original|dream_pool,3926,887,2024-05-04T22:57:04.615000+00:00,727,0.22593,0.189592,0.0,
155,nagasaki_soyo,bang_dream!|bang_dream!_it's_mygo!!!!!|the_legend_of_zelda|link!_like!_love_live!|love_live!,6896,1221,2024-05-04T22:17:15.102000+00:00,727,0.177059,0.189162,0.0,
156,kazusa_(blue_archive),blue_archive|comiket_107|fate/grand_order|fate_(series)|jujutsu_kaisen,5962,1118,2024-05-04T17:23:54.587000+00:00,727,0.187521,0.187912,0.0,
157,takanashi_kiara,hololive|hololive_english|hololive_indonesia|ego_(takanashi_kiara)|mage_arena,3680,835,2024-05-04T19:45:45.012000+00:00,727,0.226902,0.187668,0.0,
158,mari_(blue_archive),blue_archive|arknights|wuthering_waves|comiket_107|comiket_103,5844,1098,2024-05-04T16:44:13.401000+00:00,727,0.187885,0.187169,0.0,
159,hu_tao_(genshin_impact),genshin_impact|mihoyo|zenless_zone_zero|honkai_(series)|honkai:_star_rail,3238,760,2024-05-04T22:36:06.594000+00:00,727,0.234713,0.186815,0.0,
160,yahata_umiri,bang_dream!|bang_dream!_it's_mygo!!!!!|arknights|girls_band_cry|bang_dream!_girls_band_party!,5640,1073,2024-05-05T02:20:47.121000+00:00,727,0.190248,0.186813,0.0,
161,anyoji_hime,link!_like!_love_live!|love_live!|hasunosora_fantasy|love_live!_hasu_no_sora_jogakuin_school_idol_club_bloom_garden_party|bang_dream!,4828,975,2024-05-04T17:03:27.770000+00:00,727,0.201947,0.186147,0.0,
162,elysia_(herrscher_of_human:_ego)_(honkai_impact),honkai_(series)|honkai_impact_3rd|honkai:_star_rail|mihoyo|zenless_zone_zero,3486,790,2024-05-06T15:51:15.712000+00:00,725,0.226621,0.186123,0.0,
163,kaname_madoka,mahou_shoujo_madoka_magica|mahou_shoujo_madoka_magica_(anime)|mahou_shoujo_madoka_magica:_hangyaku_no_monogatari|mahou_shoujo_madoka_magica_magia_exedra|mahou_shoujo_madoka_magica:_walpurgis_no_kaiten,4659,949,2024-05-05T01:19:28.975000+00:00,727,0.203692,0.185562,0.0,
164,kagamine_len,vocaloid|project_sekai|utau|piapro_studio|ego_renegade_boy_(vocaloid),3485,788,2024-05-04T18:04:25.113000+00:00,727,0.226112,0.185428,0.0,
165,kasane_teto_(utau),utau|vocaloid|synthesizer_v|a.i._voice|voicepeak,3523,791,2024-05-04T19:59:43.770000+00:00,727,0.224525,0.18508,0.0,
166,hikari_(blue_archive),blue_archive|original|comiket_106|comiket_107|umamusume,4068,864,2024-05-04T16:56:05.593000+00:00,727,0.212389,0.18455,0.0,
167,kachimachi_kosuzu,link!_like!_love_live!|love_live!|bang_dream!|bang_dream!_it's_mygo!!!!!|hasunosora_fantasy,4370,902,2024-05-04T16:24:50.328000+00:00,727,0.206407,0.184374,0.0,
