rank,character_tag,copyrights,post_count,recent_post_count,popularity_score,copyright_confidence,needs_review,notes
159,kanna_(blue_archive),blue_archive|comiket_107|original|resident_evil|resident_evil_2,4164,621,0.569827,1.0,False,
160,fuwawa_abyssgard,hololive|hololive_english|hololive_indonesia|hololive_dev_is|comiket_107,3634,926,0.569559,1.0,False,
161,kel_(omori),omori|undertale|utdr_(toby_fox)|pokemon|friday_night_funkin',3389,1049,0.568465,1.0,False,
162,kaenbyou_rin,touhou|subterranean_animism|touhou_lostword|foul_detective_satori|original,3220,1165,0.568405,1.0,False,
163,kieran_(pokemon),pokemon|pokemon_scarlet_and_violet|pokemon_legends:_z-a|original|pokemon_masters_ex,4053,628,0.568239,1.0,False,
164,takanashi_kiara,hololive|hololive_english|hololive_indonesia|ego_(takanashi_kiara)|mage_arena,3680,822,0.56741,1.0,False,
165,kasane_teto_(sv),utau|synthesizer_v|vocaloid|voicepeak|a.i._voice,3914,679,0.567391,1.0,False,
166,saigyouji_yuyuko,touhou|touhou_lostword|perfect_cherry_blossom|foul_detective_satori|imperishable_night,3293,1065,0.567021,1.0,False,
167,herta_(honkai:_star_rail),honkai_(series)|honkai:_star_rail|genshin_impact|comiket_107|mihoyo,3626,828,0.566603,1.0,False,
168,mococo_abyssgard,hololive|hololive_english|hololive_indonesia|hololive_dev_is|hololive_dreams,3537,882,0.566506,1.0,False,
169,evelyn_chevalier,zenless_zone_zero|goddess_of_victory:_nikke|honkai_(series)|genshin_impact|mihoyo,3696,754,0.565747,1.0,False,
170,inubashiri_momiji,touhou|original|touhou_lostword|touhou_(pc-98)|cookie_(touhou),3218,1047,0.56498,1.0,False,
171,momoi_(blue_archive),blue_archive|comiket_103|jujutsu_kaisen|minecraft|slay_the_spire,3618,775,0.564937,1.0,False,
172,yor_briar,spy_x_family|resident_evil|resident_evil_4|resident_evil_4_(remake)|chainsaw_man,3298,985,0.564827,1.0,False,
173,oma_kokichi,danganronpa_(series)|danganronpa_v3:_killing_harmony|danganronpa_2:_goodbye_despair|danganronpa:_trigger_happy_havoc|danganronpa_another_episode:_ultra_despair_girls,4147,450,0.564653,1.0,False,
174,mash_kyrielight,fate_(series)|fate/grand_order|original|nijisanji|fate/stay_night,3326,953,0.56447,1.0,False,
175,konpaku_youmu_(ghost),touhou|touhou_lostword|perfect_cherry_blossom|imperishable_night|utau,3075,1128,0.564293,1.0,False,
176,acheron_(honkai:_star_rail),honkai:_star_rail|honkai_(series)|honkai_impact_3rd|genshin_impact|mihoyo,3973,527,0.564022,1.0,False,
177,leon_s._kennedy,resident_evil|resident_evil_requiem|resident_evil_4|resident_evil_2|resident_evil_4_(remake),2274,1814,0.563987,1.0,False,
178,nico_robin,one_piece|one_piece_(live_action)|one_piece_film:_red|one_piece_card_game|one_piece_film:_z,3249,987,0.563894,1.0,False,
179,patchouli_knowledge,touhou|embodiment_of_scarlet_devil|marisa_of_liartop_mountain|touhou_lostword|touhou_(pc-98),3232,999,0.56389,1.0,False,
180,amate_yuzuriha,gundam|gundam_gquuuuuux|i_can_friday_by_day!|comiket_107|mobile_suit_gundam,4318,325,0.563744,1.0,False,
181,kasane_teto_(utau),utau|vocaloid|synthesizer_v|a.i._voice|voicepeak,3523,782,0.563376,1.0,False,
